zipcode,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,FIP_disaster_count,average_project,approved_rate,pop_total,pop_white,pop_black,pop_latino,median_income,application_per_thousand,approval_per_thousand,pct_black,pct_white,pct_latino,non_white
70006,LA,20283.0,18350.0,13305.0,61702723.31,716.0,4637.559061255167,0.6559680520633042,15304.0,11971.0,1685.0,2661.0,32230.0,0.0013253397804495557,0.0008693805541035023,0.1101019341348667,0.7822138003136435,0.17387611082070048,0.2177861996863565
70007,LA,4.0,4.0,2.0,8716.0,129.0,4358.0,0.5,,,,,,,,,,,
70008,LA,3.0,3.0,1.0,4358.0,126.0,4358.0,0.3333333333333333,,,,,,,,,,,
70009,LA,27.0,24.0,17.0,73319.36,122.0,4312.903529411765,0.6296296296296297,,,,,,,,,,,
70010,LA,9.0,9.0,6.0,24327.0,81.0,4054.5,0.6666666666666666,,,,,,,,,,,
70011,LA,19.0,16.0,10.0,24716.0,118.0,2471.6,0.5263157894736842,,,,,,,,,,,
70012,LA,16.0,10.0,8.0,45230.81,171.0,5653.85125,0.5,,,,,,,,,,,
70013,LA,10.0,10.0,7.0,53227.25,169.0,7603.892857142857,0.7,,,,,,,,,,,
70014,LA,17.0,15.0,11.0,34798.0,121.0,3163.454545454545,0.6470588235294118,,,,,,,,,,,
70015,LA,10.0,10.0,8.0,29616.0,71.0,3702.0,0.8,,,,,,,,,,,
70016,LA,10.0,7.0,5.0,35189.25,119.0,7037.85,0.5,,,,,,,,,,,
70017,LA,15.0,15.0,10.0,30600.32,228.0,3060.032,0.6666666666666666,,,,,,,,,,,
70018,LA,7.0,7.0,4.0,8889.0,75.0,2222.25,0.5714285714285714,,,,,,,,,,,
70019,LA,26.0,23.0,13.0,129113.2,162.0,9931.784615384617,0.5,,,,,,,,,,,
70020,LA,1.0,1.0,1.0,4358.0,46.0,4358.0,1.0,,,,,,,,,,,
70021,LA,3.0,3.0,3.0,29931.73,81.0,9977.243333333334,1.0,,,,,,,,,,,
70022,LA,3.0,3.0,1.0,4358.0,81.0,4358.0,0.3333333333333333,,,,,,,,,,,
70023,LA,3.0,3.0,1.0,3858.0,153.0,3858.0,0.3333333333333333,,,,,,,,,,,
70025,LA,1.0,1.0,1.0,4358.0,35.0,4358.0,1.0,,,,,,,,,,,
70026,LA,6.0,6.0,4.0,24608.02,121.0,6152.005,0.6666666666666666,,,,,,,,,,,
70028,LA,1.0,1.0,1.0,2000.0,46.0,2000.0,1.0,,,,,,,,,,,
70029,LA,1.0,1.0,1.0,2358.0,35.0,2358.0,1.0,,,,,,,,,,,
70030,LA,4707.0,4383.0,2688.0,9483422.78,393.0,3528.059069940476,0.5710643722115998,3679.0,3088.0,275.0,186.0,30766.0,0.0012794237564555586,0.0007306333242729003,0.07474857298178852,0.8393585213373199,0.05055721663495515,0.16064147866268008
70031,LA,1659.0,1505.0,1014.0,3200172.6,170.0,3155.9887573964493,0.6112115732368897,1052.0,536.0,516.0,0.0,27135.0,0.0015769961977186312,0.0009638783269961977,0.49049429657794674,0.5095057034220533,0.0,0.49049429657794674
70032,LA,8781.0,8166.0,5957.0,44565537.99,262.0,7481.204967265401,0.678396537979729,4207.0,3032.0,554.0,444.0,32051.0,0.002087235559781317,0.001415973377703827,0.13168528642738292,0.7207035892560019,0.10553838840028523,0.2792964107439981
70033,LA,3.0,3.0,1.0,4358.0,46.0,4358.0,0.3333333333333333,,,,,,,,,,,
70034,LA,5.0,4.0,4.0,20563.42,183.0,5140.855,0.8,,,,,,,,,,,
70036,LA,2633.0,2400.0,1438.0,7547365.329999999,176.0,5248.515528511822,0.5461450816559058,1117.0,928.0,97.0,0.0,28500.0,0.0023572068039391224,0.0012873769024171887,0.08683974932855863,0.8307967770814683,0.0,0.1692032229185318
70037,LA,17346.0,15526.0,9914.0,34852421.239999995,453.0,3515.475210812991,0.5715438717860025,16129.0,13168.0,1689.0,1553.0,37233.0,0.0010754541509083017,0.0006146692293384587,0.10471820943641887,0.8164176328352657,0.09628619257238515,0.18358236716473433
70038,LA,1838.0,1710.0,1080.0,11174755.97,260.0,10346.996268518518,0.5875952121871599,182.0,151.0,0.0,10.0,20250.0,0.010098901098901098,0.0059340659340659345,0.0,0.8296703296703297,0.054945054945054944,0.17032967032967034
70039,LA,3677.0,3303.0,2047.0,7589328.57,260.0,3707.537161700049,0.5567038346478107,2579.0,644.0,1901.0,151.0,27094.0,0.0014257464133385035,0.0007937184955409074,0.7371074059713068,0.24970918960837535,0.05854982551376502,0.7502908103916247
70040,LA,3628.0,3343.0,2255.0,18677554.59,341.0,8282.72930820399,0.6215545755237045,816.0,266.0,530.0,12.0,16052.0,0.004446078431372549,0.002763480392156863,0.6495098039215687,0.32598039215686275,0.014705882352941176,0.6740196078431373
70041,LA,7664.0,7144.0,4737.0,38600567.48,520.0,8148.737065653368,0.6180845511482255,2554.0,1256.0,358.0,64.0,24782.0,0.003000783085356304,0.0018547376664056383,0.14017227877838684,0.4917776037588097,0.025058731401722788,0.5082223962411903
70042,LA,18.0,18.0,10.0,74441.06,131.0,7444.106,0.5555555555555556,,,,,,,,,,,
70043,LA,34393.0,31792.0,23120.0,183248624.84,940.0,7925.978583044983,0.6722298142063792,23111.0,15536.0,5481.0,2222.0,26137.0,0.0014881658084894638,0.0010003894249491585,0.23715979403747134,0.6722340011250054,0.09614469300333174,0.3277659988749946
70044,LA,18.0,14.0,9.0,68400.95,130.0,7600.105555555555,0.5,,,,,,,,,,,
70045,LA,5.0,4.0,3.0,25370.79,125.0,8456.93,0.6,,,,,,,,,,,
70046,LA,44.0,39.0,26.0,251344.0,85.0,9667.076923076924,0.5909090909090909,,,,,,,,,,,
70047,LA,12563.0,11421.0,6991.0,15190634.22,380.0,2172.884311257331,0.5564753641646104,12923.0,10450.0,2148.0,987.0,46657.0,0.0009721426913255436,0.0005409734581753462,0.16621527509092315,0.8086357656890815,0.07637545461580128,0.1913642343109185
70048,LA,5.0,5.0,1.0,4358.0,165.0,4358.0,0.2,,,,,,,,,,,
70049,LA,3624.0,3351.0,1960.0,9562272.92,245.0,4878.710673469388,0.5408388520971302,1788.0,101.0,1654.0,0.0,23812.0,0.0020268456375838926,0.0010961968680089484,0.9250559284116331,0.056487695749440715,0.0,0.9435123042505593
70050,LA,1532.0,1406.0,938.0,10716062.29,207.0,11424.3734434968,0.6122715404699739,113.0,44.0,69.0,11.0,,0.013557522123893806,0.008300884955752211,0.6106194690265486,0.3893805309734513,0.09734513274336283,0.6106194690265486
70051,LA,2717.0,2500.0,1338.0,4963980.7,176.0,3710.000523168909,0.4924549135075451,1772.0,1062.0,710.0,29.0,31089.0,0.001533295711060948,0.000755079006772009,0.4006772009029345,0.5993227990970654,0.01636568848758465,0.4006772009029345
70052,LA,3269.0,3027.0,1531.0,4942389.0,442.0,3228.209666884389,0.4683389415723463,3651.0,1481.0,2131.0,0.0,30528.0,0.0008953711311969324,0.0004193371678992057,0.5836757052862229,0.40564228978362094,0.0,0.5943577102163791
70053,LA,24269.0,21445.0,13798.0,54765739.2,631.0,3969.107058994057,0.5685442333841526,16790.0,8696.0,5353.0,3354.0,24974.0,0.0014454437164979155,0.0008217986896962478,0.3188207266229899,0.5179273377010125,0.19976176295413936,0.4820726622989875
70054,LA,59.0,52.0,28.0,136367.83000000002,127.0,4870.279642857144,0.4745762711864407,,,,,,,,,,,
70055,LA,12.0,12.0,7.0,30040.09,81.0,4291.441428571428,0.5833333333333334,,,,,,,,,,,
70056,LA,55315.0,49073.0,31573.0,136681249.93,942.0,4329.054886453616,0.5707855012202838,41727.0,16961.0,17015.0,8163.0,30248.0,0.0013256404725956814,0.00075665636158842,0.40776954969204593,0.4064754235866465,0.19562872959953986,0.5935245764133534
70057,LA,5111.0,4669.0,2850.0,10198968.84,257.0,3578.5855578947367,0.5576208178438662,4766.0,2045.0,2506.0,338.0,31625.0,0.0010723877465379774,0.0005979857322702476,0.5258078052874527,0.42908099034830044,0.07091900965169953,0.5709190096516995
70058,LA,62577.0,56261.0,34540.0,147583142.39999998,1156.0,4272.818251302837,0.5519599852981127,40191.0,10651.0,24584.0,3024.0,27305.0,0.0015569903709785774,0.0008593963822746385,0.6116792316687816,0.2650095792590381,0.07524072553556767,0.7349904207409619
70059,LA,45.0,40.0,24.0,122646.87,94.0,5110.28625,0.5333333333333333,,,,,,,,,,,
70060,LA,13.0,10.0,4.0,10511.0,137.0,2627.75,0.3076923076923077,,,,,,,,,,,
70061,LA,3.0,3.0,1.0,500.0,124.0,500.0,0.3333333333333333,,,,,,,,,,,
70062,LA,25771.0,22961.0,14791.0,64515978.65,769.0,4361.840217023866,0.5739396996624112,17463.0,8882.0,6309.0,4852.0,24568.0,0.0014757487258775697,0.0008469907805073584,0.3612781309053427,0.5086182213823512,0.27784458569547044,0.49138177861764876
70063,LA,56.0,47.0,30.0,167299.94,218.0,5576.664666666667,0.5357142857142857,,,,,,,,,,,
70064,LA,45.0,41.0,25.0,132108.86,203.0,5284.354399999999,0.5555555555555556,,,,,,,,,,,
70065,LA,66323.0,59510.0,40458.0,174894703.04,787.0,4322.870706411587,0.6100146253939056,50973.0,32365.0,9896.0,12390.0,32216.0,0.0013011398191199262,0.0007937143193455359,0.19414199674337396,0.6349439899554666,0.24306986051438997,0.36505601004453336
70066,LA,30.0,29.0,15.0,64387.77,94.0,4292.518,0.5,,,,,,,,,,,
70067,LA,6915.0,6412.0,4027.0,21653944.55,287.0,5377.190104296003,0.5823571945046999,3089.0,2893.0,1.0,47.0,30573.0,0.0022385885399805764,0.0013036581417934607,0.0003237293622531564,0.9365490449983813,0.015215280025898349,0.06345095500161865
70068,LA,44795.0,40707.0,23097.0,87329140.74,672.0,3780.9733186128074,0.515615582096216,33819.0,14123.0,17748.0,2243.0,31381.0,0.0013245512877376622,0.0006829592832431474,0.5247937549897986,0.4176054880392679,0.06632366421242497,0.5823945119607321
70069,LA,51.0,44.0,25.0,134465.28999999998,169.0,5378.611599999999,0.4901960784313725,,,,,,,,,,,
70070,LA,12263.0,11194.0,7112.0,14916994.89,301.0,2097.4402263779525,0.5799559650982631,14827.0,10412.0,3147.0,882.0,40235.0,0.0008270722330882849,0.00047966547514669184,0.21224792608079854,0.7022324138396169,0.059486072705199976,0.29776758616038307
