pop_total,pop_white,pop_black,pop_latino,median_income,state,zip code tabulation area,zipcode
4731,4417,0,131,62831,25,01451,01451
4708,4391,45,272,38569,25,01452,01452
41647,33723,2805,7676,32982,25,01453,01453
10071,9081,62,127,51022,25,01460,01460
11402,10703,189,674,49250,25,01462,01462
12105,11463,96,238,45012,25,01463,01463
7633,5925,646,749,39059,25,01464,01464
276,276,0,0,,25,01467,01467
4062,3901,0,34,41296,25,01468,01468
7670,7397,83,213,43458,25,01469,01469
7766,7729,0,258,49688,25,01473,01473
1803,1791,0,90,34396,25,01474,01474
10825,10065,129,347,33944,25,01475,01475
16619,15784,146,760,43155,25,01501,01501
3182,3093,13,7,40208,25,01503,01503
9263,8821,115,219,41560,25,01504,01504
4623,4443,9,191,47679,25,01505,01505
3441,3301,11,1,38237,25,01506,01506
13550,12851,120,831,47133,25,01507,01507
13935,12427,448,2407,33492,25,01510,01510
2040,1979,22,58,40474,25,01515,01515
8859,8546,28,506,42442,25,01516,01516
3947,3747,1,102,34681,25,01518,01518
7042,5859,310,334,44778,25,01519,01519
15781,14916,146,547,49819,25,01520,01520
2630,2567,21,65,39858,25,01521,01521
3270,3179,23,270,48041,25,01522,01522
7794,6872,597,590,37421,25,01523,01523
6654,6338,160,163,33642,25,01524,01524
544,470,0,74,34091,25,01525,01525
13732,12621,195,169,40297,25,01527,01527
3256,3166,16,30,37729,25,01529,01529
1211,1196,0,7,44917,25,01531,01531
15056,12665,489,405,51781,25,01532,01532
6296,6045,65,373,44159,25,01534,01534
4774,4649,49,75,38528,25,01535,01535
7576,6670,275,667,46912,25,01536,01536
2201,2002,78,132,31548,25,01537,01537
11581,10348,200,647,39180,25,01540,01540
3455,3316,15,52,53955,25,01541,01541
2567,2427,116,64,41232,25,01542,01542
8685,8148,3,285,46875,25,01543,01543
37086,27096,1001,1714,48701,25,01545,01545
16887,13873,575,5548,26033,25,01550,01550
4396,3281,126,247,47578,25,01560,01560
209,124,0,0,31723,25,01561,01561
11928,11129,115,395,31059,25,01562,01562
8091,7815,105,410,48059,25,01564,01564
5592,5200,74,183,39765,25,01566,01566
7894,6492,600,281,56774,25,01568,01568
14025,13477,259,239,42305,25,01569,01569
16973,14265,835,2049,31148,25,01570,01570
11723,10642,229,423,30668,25,01571,01571
19037,13298,370,1184,55615,25,01581,01581
7693,6829,461,951,38772,25,01583,01583
4569,4398,9,127,28680,25,01585,01585
9750,8577,265,615,35901,25,01588,01588
9404,8822,208,122,45576,25,01590,01590
22900,18398,1691,2031,35831,25,01602,01602
19731,13231,2319,4440,25729,25,01603,01603
38191,24825,5440,8684,31254,25,01604,01604
28533,18217,5450,8651,23552,25,01605,01605
19896,14981,2381,2007,35406,25,01606,01606
8167,5712,1759,1347,27432,25,01607,01607
4471,2233,992,1947,20357,25,01608,01608
21628,16787,1861,3861,20538,25,01609,01609
22023,14004,2762,7568,15025,25,01610,01610
2277,2038,85,203,38846,25,01611,01611
4900,4326,409,195,42474,25,01612,01612
32590,26428,1709,2066,50890,25,01701,01701
39799,23907,3579,9582,32295,25,01702,01702
790,449,0,79,56458,25,01718,01718
5561,4253,41,282,56863,25,01719,01719
22791,15777,359,758,60696,25,01720,01720
17710,14626,397,1246,56492,25,01721,01721
14070,10894,565,544,61264,25,01730,01730
2059,1607,89,280,51010,25,01731,01731
5299,4941,15,74,69605,25,01740,01740
5224,4517,0,43,66858,25,01741,01741
19121,15918,769,1376,64657,25,01742,01742
595,542,0,29,72847,25,01745,01745
14724,13368,173,570,57397,25,01746,01746
5947,5724,19,58,42793,25,01747,01747
17598,14788,333,561,70425,25,01748,01748
19887,18707,237,1159,41657,25,01749,01749
39736,29887,1525,5985,38578,25,01752,01752
10754,9941,144,366,50518,25,01754,01754
6115,5787,6,143,48009,25,01756,01756
28883,23471,675,4048,40431,25,01757,01757
35761,29190,677,1430,60574,25,01760,01760
4316,3842,28,94,74583,25,01770,01770
9526,7723,67,368,55743,25,01772,01772
4884,4536,21,310,72292,25,01773,01773
7133,6510,1,204,60404,25,01775,01775
19122,16205,347,482,72029,25,01776,01776
14088,11867,97,698,70392,25,01778,01778
40359,32135,2415,1839,44424,25,01801,01801
27650,20545,1250,845,48466,25,01803,01803
35816,28606,958,1768,59466,25,01810,01810
32797,28029,1093,1168,46473,25,01821,01821
25754,22522,184,752,54758,25,01824,01824
31294,27645,1425,2069,39588,25,01826,01826
3366,3183,0,69,53354,25,01827,01827
26305,20965,1240,6375,31803,25,01830,01830
23270,18533,508,6123,32518,25,01832,01832
8695,8334,68,303,53819,25,01833,01833
6780,6668,0,215,40588,25,01834,01834
13958,11516,562,2224,35992,25,01835,01835
5573,2502,236,4834,17500,25,01840,01840
