zipcode,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,FIP_disaster_count,average_project,approved_rate
73150,OK,350.0,317.0,93.0,281968.23000000004,87,3031.9164516129035,0.26571428571428574
73151,OK,20.0,17.0,8.0,6994.34,47,874.2925,0.4
73159,OK,683.0,602.0,167.0,467538.9,126,2799.6341317365273,0.2445095168374817
73160,OK,6530.0,5642.0,1290.0,5105423.9399999995,128,3957.6929767441857,0.19754977029096477
73162,OK,152.0,127.0,26.0,128940.22,120,4959.239230769231,0.17105263157894737
73165,OK,362.0,315.0,116.0,360224.63,87,3105.3847413793105,0.32044198895027626
73169,OK,199.0,27.0,3.0,4582.969999999999,87,1527.6566666666665,0.01507537688442211
73170,OK,2418.0,2186.0,318.0,1435125.67,126,4512.973805031446,0.1315136476426799
73173,OK,33.0,27.0,8.0,38775.79,87,4846.97375,0.24242424242424243
73179,OK,130.0,117.0,23.0,58502.74,86,2543.5973913043476,0.17692307692307693
73189,OK,1.0,1.0,1.0,483.0,40,483.0,1.0
73210,OK,2.0,2.0,2.0,4269.9,47,2134.95,1.0
73401,OK,638.0,549.0,305.0,1626749.4000000001,75,5333.6045901639345,0.4780564263322884
73425,OK,2.0,2.0,1.0,12571.63,63,12571.63,0.5
73430,OK,44.0,17.0,12.0,76614.83,24,6384.569166666667,0.2727272727272727
73432,OK,8.0,6.0,2.0,15142.11,47,7571.055,0.25
73433,OK,25.0,17.0,10.0,30247.04,63,3024.704,0.4
73434,OK,11.0,8.0,2.0,9753.12,64,4876.56,0.18181818181818182
73435,OK,7.0,7.0,3.0,40629.64,31,13543.213333333333,0.42857142857142855
73437,OK,12.0,9.0,5.0,62345.1,62,12469.02,0.4166666666666667
73438,OK,111.0,97.0,58.0,437998.33999999997,31,7551.695517241379,0.5225225225225225
73439,OK,192.0,133.0,57.0,453045.43,18,7948.165438596491,0.296875
73440,OK,6.0,6.0,4.0,52311.07,18,13077.7675,0.6666666666666666
73442,OK,21.0,12.0,3.0,17290.989999999998,32,5763.663333333333,0.14285714285714285
73443,OK,264.0,230.0,123.0,1109396.73,31,9019.485609756097,0.4659090909090909
73446,OK,65.0,52.0,30.0,72350.48,49,2411.6826666666666,0.46153846153846156
73447,OK,12.0,12.0,7.0,44582.78,20,6368.9685714285715,0.5833333333333334
73448,OK,50.0,42.0,29.0,144651.07,55,4987.967931034483,0.58
73449,OK,99.0,72.0,42.0,219862.64,55,5234.824761904762,0.42424242424242425
73450,OK,14.0,12.0,3.0,3527.7200000000003,51,1175.9066666666668,0.21428571428571427
73455,OK,7.0,5.0,3.0,21105.66,20,7035.22,0.42857142857142855
73456,OK,32.0,26.0,15.0,89972.72,106,5998.181333333333,0.46875
73458,OK,14.0,10.0,6.0,16655.44,31,2775.9066666666663,0.42857142857142855
73459,OK,11.0,8.0,7.0,47448.95,24,6778.421428571428,0.6363636363636364
73460,OK,109.0,94.0,65.0,374207.47000000003,20,5757.0380000000005,0.5963302752293578
73461,OK,9.0,4.0,1.0,5158.56,47,5158.56,0.1111111111111111
73463,OK,63.0,57.0,25.0,121571.47,31,4862.8588,0.3968253968253968
73481,OK,76.0,58.0,30.0,460755.17,63,15358.505666666666,0.39473684210526316
73487,OK,95.0,90.0,43.0,292795.78,31,6809.204186046512,0.45263157894736844
73491,OK,27.0,22.0,14.0,248694.86000000002,32,17763.918571428574,0.5185185185185185
73501,OK,215.0,171.0,72.0,268483.94,97,3728.9436111111113,0.33488372093023255
73503,OK,7.0,2.0,1.0,8662.33,35,8662.33,0.14285714285714285
73505,OK,567.0,497.0,207.0,977131.5099999999,35,4720.442077294685,0.36507936507936506
73507,OK,364.0,304.0,164.0,731523.0599999999,35,4460.506463414634,0.45054945054945056
73520,OK,2.0,2.0,1.0,2913.33,28,2913.33,0.5
73521,OK,49.0,49.0,34.0,235854.05000000002,64,6936.883823529412,0.6938775510204082
73527,OK,147.0,132.0,82.0,817513.33,35,9969.67475609756,0.5578231292517006
73528,OK,5.0,4.0,2.0,33732.72,70,16866.36,0.4
73529,OK,51.0,43.0,14.0,50543.81,32,3610.2721428571426,0.27450980392156865
73533,OK,484.0,439.0,185.0,1028881.48,110,5561.521513513513,0.3822314049586777
73538,OK,63.0,57.0,26.0,234698.09999999998,35,9026.849999999999,0.4126984126984127
73540,OK,6.0,6.0,3.0,8893.73,35,2964.5766666666664,0.5
73541,OK,15.0,14.0,7.0,9202.26,35,1314.6085714285714,0.4666666666666667
73542,OK,33.0,33.0,8.0,41636.02,35,5204.5025,0.24242424242424243
73543,OK,22.0,18.0,8.0,64607.35999999999,117,8075.919999999999,0.36363636363636365
73548,OK,10.0,10.0,4.0,10510.17,95,2627.5425,0.4
73552,OK,85.0,76.0,63.0,926454.0,35,14705.619047619048,0.7411764705882353
73554,OK,6.0,6.0,4.0,30385.06,22,7596.265,0.6666666666666666
73555,OK,2.0,2.0,1.0,1941.42,35,1941.42,0.5
73557,OK,13.0,10.0,4.0,8945.619999999999,35,2236.4049999999997,0.3076923076923077
73559,OK,21.0,18.0,12.0,90330.92000000001,35,7527.576666666668,0.5714285714285714
73562,OK,13.0,13.0,4.0,23235.1,35,5808.775,0.3076923076923077
73564,OK,16.0,14.0,6.0,11062.560000000001,35,1843.7600000000002,0.375
73565,OK,9.0,8.0,4.0,33871.619999999995,63,8467.904999999999,0.4444444444444444
73566,OK,88.0,79.0,35.0,121022.17,35,3457.7762857142857,0.3977272727272727
73567,OK,6.0,5.0,1.0,471.15,35,471.15,0.16666666666666666
73568,OK,57.0,54.0,24.0,86599.48999999999,35,3608.312083333333,0.42105263157894735
73569,OK,4.0,3.0,2.0,6092.02,28,3046.01,0.5
73570,OK,14.0,12.0,6.0,19501.48,35,3250.2466666666664,0.42857142857142855
73572,OK,96.0,74.0,45.0,147674.52,35,3281.656,0.46875
73573,OK,34.0,29.0,13.0,67533.38,28,5194.875384615385,0.38235294117647056
73601,OK,26.0,26.0,15.0,98785.62,31,6585.708,0.5769230769230769
73620,OK,5.0,5.0,1.0,694.08,31,694.08,0.2
73625,OK,2.0,2.0,1.0,9000.0,31,9000.0,0.5
73627,OK,1.0,1.0,1.0,487.52,27,487.52,1.0
73628,OK,45.0,39.0,21.0,81157.23999999999,30,3864.6304761904757,0.4666666666666667
