disasterNumber,state,county,city,zipcode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,id,county_type
4222,OK,Oklahoma,HARRAH,73045,20.0,8,9,3,14.0,8.0,21824.54,14,8,20582.03,6,1,1242.51,623ecc48cbab24a500f1aa38,County)
4222,OK,Oklahoma,OKC,73150,1.0,0,1,0,1.0,0.0,0.0,1,0,0,1,0,0,623ecc48cbab24a500f1aa43,County)
4222,OK,Oklahoma,OKC,73159,1.0,0,1,0,1.0,0.0,0.0,0,0,0,1,0,0,623ecc48cbab24a500f1aa44,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73107,26.0,16,8,2,22.0,9.0,26488.35,17,5,8922.63,13,6,17565.72,623ecc48cbab24a500f1aa4f,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73109,126.0,95,23,8,120.0,81.0,644632.09,117,70,484523.71,79,50,160108.38,623ecc48cbab24a500f1aa51,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73111,29.0,22,6,1,28.0,6.0,11609.74,28,3,4184.74,17,5,7425,623ecc48cbab24a500f1aa53,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73165,2.0,2,0,0,2.0,1.0,8852.72,2,1,8852.72,1,0,0,623ecc48cbab24a500f1aa6e,County)
4222,OK,Oklahoma,OKLAHOMA CITY,73179,7.0,2,5,0,5.0,3.0,18390.98,5,3,17358.93,2,1,1032.05,623ecc48cbab24a500f1aa71,County)
4222,OK,Oklahoma,OKLOHOMA CITY,73139,2.0,2,0,0,2.0,2.0,1840.72,2,0,0,2,2,1840.72,623ecc48cbab24a500f1aa72,County)
4222,OK,Oklahoma,SPENCER,73084,27.0,22,5,0,25.0,7.0,14206.119999999999,25,6,13018.75,12,1,1187.37,623ecc48cbab24a500f1aa74,County)
